index,footprint,activity_id,unit_type,country,year,id,rank
0,Stationary combustion Natural gas,fuel-type_other_natural_gas_liquids-fuel_use_stationary_combustion,Weight,AU,2023,1384f37b-0769-4e4f-b093-3cb57147afa5,1
1,Stationary combustion Natural gas,fuel-type_other_natural_gas_liquids-fuel_use_stationary_combustion,Energy,AU,2023,ae6d8ced-b3d5-423e-a909-1ec254b3d6e1,1
2,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Energy,US,2021,27ca716b-ac5d-46cd-8075-6df48c0687c0,2
3,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Volume,US,2023,2c95cc42-245f-4d9f-bd12-f63cf285861c,2
4,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Volume,US,2022,30a6427c-cb27-4e2b-a082-59377e7e4591,2
5,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Energy,US,2022,4813f2dc-e8f6-4688-aea9-d89aa3f0a898,2
6,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Energy,US,2023,5946165a-b87e-4dd6-9224-234928000039,2
7,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Energy,US,2024,8c9e839e-9e63-4cfa-87d7-4d17cfcb3963,2
8,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Volume,US,2024,a621d492-1397-4b17-9a75-451d76fc9dc1,2
9,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Energy,US,2021,e9458200-6971-4f6e-b365-55005728f45e,2
10,Stationary combustion Natural gas,fuel-type_natural_gas-fuel_use_stationary_combustion,Volume,US,2021,ec5409c7-d83e-4628-9f50-0fe8cabaf19d,2
11,Stationary combustion Natural gas,fuel-type_liquefied_petroleum_gases-fuel_use_stationary_combustion,Energy,US,2021,607ca607-027e-4471-8a59-037e9d0633a4,3
12,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Energy,US,2021,a9f0c6e5-9a4a-4157-a7ff-33c0428d1a56,4
13,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Volume,US,2024,8da203c2-cad5-44e3-88f3-8c20809541f6,4
14,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Energy,US,2022,849c9604-5c00-4ada-8a52-7432ff1f190c,4
15,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Energy,US,2024,750a9fec-0747-4370-91d2-6e2e5301b778,4
16,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Volume,US,2021,009978d7-625c-437b-a3af-cf16300ffab3,4
17,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Energy,US,2021,6c0732c5-8f55-4c2f-8024-a4e2d230ac29,4
18,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Energy,US,2023,0dc83cb5-bde1-4448-815b-7a4ce3253a27,4
19,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Volume,US,2023,0c61c299-eb3b-49ce-97a5-c7539620c87e,4
20,Stationary combustion Natural gas,fuel-type_other_biomass_gases-fuel_use_stationary_combustion,Volume,US,2022,74c86e00-5279-4b64-9c7f-ba9a024567ef,4
21,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Volume,US,2024,eb7998d1-8646-4dba-9ef5-70e8d4925d7b,5
22,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Energy,US,2024,f721345c-82b9-4699-b59c-9fc36b9db84c,5
23,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Volume,US,2023,f6a70e67-6bd6-4432-a5e0-2042b156862b,5
24,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Energy,US,2023,d4fa5dde-e3f4-41ec-826c-b5ee9fe08714,5
25,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Energy,US,2021,4b0fe5cf-b298-424d-8f44-0dfc66d0491f,5
26,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Energy,US,2022,61f0bd97-9f4c-4ace-b1dd-e6b76fb07c0a,5
27,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Energy,US,2021,61d7176f-7367-4427-b698-87fe16088324,5
28,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Volume,US,2022,544364d8-1640-4e0a-ba82-6b705f9ea489,5
29,Stationary combustion Natural gas,fuel-type_butane-fuel_use_stationary_combustion,Volume,US,2021,c98e0fa1-ca51-4a34-a0b7-5306fa02f74f,5
30,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Energy,US,2022,b953b5cc-ebc3-4fb9-83ec-4c67c220df17,6
31,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Energy,US,2021,b48030ad-711a-46fd-afae-65f9dcd39b90,6
32,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Energy,US,2021,a78366ae-c854-479f-9ad9-f515f3a3ba29,6
33,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Volume,US,2022,97ba4b72-8018-4448-bff8-c1d4b7ed5a3d,6
34,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Volume,US,2023,84009756-9bce-4f58-a496-698375d63da3,6
35,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Energy,US,2024,72367c2f-03ee-418a-8554-5ee3be1e5027,6
36,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Volume,US,2024,18874a08-6c2e-4475-8418-623296b89117,6
37,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Energy,US,2023,0a8aa6f3-5740-4d50-a9ad-cd0629ae9dcc,6
38,Stationary combustion Natural gas,fuel-type_unfinished_oils-fuel_use_stationary_combustion,Volume,US,2021,79d3965e-37b1-4c73-b3c0-26532726b06d,6
39,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Volume,US,2022,69e9c083-7998-47d1-870c-182cce795887,7
40,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Volume,US,2021,9474fc8a-1749-41b8-8c45-0ad8b006ca5f,7
41,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Energy,US,2021,6d5639fc-3cb5-4a41-b595-fbbd25d1a97c,7
42,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Energy,US,2023,5f2eed12-b7aa-45e6-89ac-5c203030ca47,7
43,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Volume,US,2024,d56ccf30-d6e2-4ae1-854a-7519a8460aba,7
44,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Energy,US,2024,3422bb43-3bba-4be9-829a-0e3e5068ebb7,7
45,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Energy,US,2022,299b9403-73f4-45c6-b10b-b9aca9dc02f5,7
46,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Energy,US,2021,286a9169-189b-4c13-aeac-a2048fef824c,7
47,Stationary combustion Natural gas,fuel-type_coke_oven_gas-fuel_use_stationary_combustion,Volume,US,2023,4aa2f1db-7202-44f7-861a-4901d6070a21,7
48,Stationary combustion Natural gas,fuel-type_naphtha-fuel_use_stationary_combustion,Energy,AU,2023,520fb3ba-d911-4036-b81c-1d5f725e0f20,8
49,Stationary combustion Natural gas,fuel-type_naphtha-fuel_use_stationary_combustion,Energy,AU,2023,76e0e83a-f954-44f0-b3b6-836a793b8ddf,8
50,Stationary combustion Natural gas,fuel-type_naphtha-fuel_use_stationary_combustion,Volume,AU,2023,8f18b06d-003a-4713-b3cd-04a1af23781a,8
51,Stationary combustion Natural gas,fuel-type_naphtha-fuel_use_stationary_combustion,Volume,AU,2023,e154b352-4c4d-4e35-996c-c4e46bb6b07f,8
52,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Energy,US,2021,c094c88f-b967-4e23-abf3-acffe462a848,9
53,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Energy,US,2021,abbc7d8e-80b8-42ca-be99-57602ac937d2,9
54,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Energy,US,2024,a7b76039-f917-47d8-b072-c2647fbfeb81,9
55,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Volume,US,2021,9319e31c-f624-4154-b8fc-5918dacdccf0,9
56,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Volume,US,2023,541c4a82-6149-42f3-bd64-e5ae6d385a97,9
57,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Volume,US,2022,55e084bb-6e2a-4de0-8fd4-bf4e304fac33,9
58,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Energy,US,2023,1a6db75b-3e4f-4fdb-9fe1-1d25bc632684,9
59,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Energy,US,2022,17ceca39-c170-4c62-ba55-8253dbf67746,9
60,Stationary combustion Natural gas,fuel-type_other_oil_gt_401degf-fuel_use_stationary_combustion,Volume,US,2024,92274ab9-01b8-43cc-9030-b98e79a5b109,9
61,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Volume,US,2023,998ef673-fec4-42f8-92a0-395d3fc31201,10
62,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Energy,US,2024,ace3763b-b0eb-4826-ada9-ddd6e11a35ae,10
63,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Volume,US,2024,ab067d9a-54e9-43cf-9acb-62f0a70037d1,10
64,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Energy,US,2023,963019ab-8bad-4518-a5b5-471050d63b71,10
65,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Energy,US,2022,e3c3ee41-de49-4a44-ac09-0b70b3910110,10
66,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Volume,US,2022,80a17d8b-4ae4-4d17-8023-bb955c64a4b6,10
67,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Volume,US,2021,651e9f2b-c380-4494-9af9-130a2ee59bdf,10
68,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Energy,US,2021,06983981-a1ea-4fa0-8c4d-8d788d0f251b,10
69,Stationary combustion Natural gas,fuel-type_blast_furnace_gas-fuel_use_stationary_combustion,Energy,US,2021,8c232caa-a4c3-418b-af9c-cabc998aa06c,10
70,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Energy,US,2023,dbc9e981-113d-481e-b8e5-5e403880b287,11
71,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Energy,US,2022,bf3cce98-8fee-4913-b858-a8c388269463,11
72,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Volume,US,2021,ae8d1aea-1d2a-4880-8f5f-692acdefc284,11
73,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Volume,US,2023,9786de03-b8f0-4ceb-9e74-c948863dbe6e,11
74,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Energy,US,2021,88b6dd65-ccd5-453d-97fb-dc8c849f642f,11
75,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Volume,US,2022,6aa3e12d-9faf-4ff2-96c4-9e35ad05d4d6,11
76,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Energy,US,2024,6222b437-e9ad-4c7f-ad39-848c2b1f47a0,11
77,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Volume,US,2024,5edddcd9-262b-4718-b98b-8bf2baf42c3e,11
78,Stationary combustion Natural gas,fuel-type_fuel_gas-fuel_use_stationary_combustion,Energy,US,2021,455ca8a4-69ed-4fc5-9261-1032891bd339,11
79,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Energy,US,2021,cf16d0b6-e511-419b-95f7-309170280c92,12
80,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Energy,US,2021,d38aeb35-4b35-454b-8cf4-1830e8de785c,12
81,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Energy,US,2022,bff2f503-d36e-4f15-bcff-02cd07959a7f,12
82,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Energy,US,2023,ab95946d-9b68-4891-bc30-372872c68ec1,12
83,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Volume,US,2022,0ac78837-b3cc-4204-bd22-7d82b6d770af,12
84,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Energy,US,2024,36ddf5e4-d5fd-4a2b-ae88-329819f78dcb,12
85,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Volume,US,2024,2d06e135-8b6d-42a0-adc6-df883b8e5a2a,12
86,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Volume,US,2021,0690978c-eb2b-4f74-b83c-3ad0404842bc,12
87,Stationary combustion Natural gas,fuel-type_isobutane-fuel_use_stationary_combustion,Volume,US,2023,6d2b3cc3-03f0-4241-a0ae-c566cb26e6f6,12
88,Stationary combustion Natural gas,fuel-type_petroleum_based_products_other-fuel_use_stationary_combustion,Volume,AU,2023,0abda672-9e50-4960-a16c-a4e43657c7f3,13
89,Stationary combustion Natural gas,fuel-type_petroleum_based_products_other-fuel_use_stationary_combustion,Energy,AU,2023,3306c972-38dd-4c5c-9cba-257c3c47575f,13
90,Stationary combustion Natural gas,fuel-type_petroleum_based_products_other-fuel_use_stationary_combustion,Energy,AU,2023,9d37acc5-7ef9-49b0-9a7c-71ee6cc14218,13
91,Stationary combustion Natural gas,fuel-type_petroleum_based_products_other-fuel_use_stationary_combustion,Volume,AU,2023,a8fe6ff8-3a2e-4d16-87c8-d5b10fc0a46b,13
